what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1479811194308
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1479811194308
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.postgresql.ui",1479811194308
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201004070709,"org.eclipse.datatools.connectivity.db.generic.ui",1479811194308
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.1.1.v201101261130,"org.eclipse.datatools.connectivity.oda.flatfile.ui",1479811194308
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201012301630,"org.eclipse.datatools.enablement.oda.ws.ui",1479811194308
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201012161115,"org.eclipse.datatools.enablement.oda.xml.ui",1479811194308
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.4.v201012150951,"org.eclipse.datatools.connectivity.oda.design.ui",1479811194308
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1479811194308
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.1.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.iseries.ui",1479811194308
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.luw.ui,1.0.2.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.luw.ui",1479811194308
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries.ui,1.0.1.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.zseries.ui",1479811194309
stopped,bundle,org.eclipse.datatools.enablement.ibm.informix.ui,1.0.2.v201005211230,"org.eclipse.datatools.enablement.ibm.informix.ui",1479811194309
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver.ui,1.0.1.v200908130512,"org.eclipse.datatools.enablement.msft.sqlserver.ui",1479811194309
stopped,bundle,org.eclipse.datatools.enablement.mysql.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.mysql.ui",1479811194309
stopped,bundle,org.eclipse.datatools.enablement.oracle.ui,1.0.2.v201005051303,"org.eclipse.datatools.enablement.oracle.ui",1479811194309
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sap.maxdb.ui",1479811194309
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211415,"org.eclipse.datatools.connectivity.ui",1479811194309
stopped,bundle,org.eclipse.datatools.enablement.ibm.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.ibm.ui",1479811194309
stopped,bundle,org.eclipse.datatools.sqltools.sql.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sql.ui",1479811194309
